Date,Price LC,FX,Price USD,Inflation
1/1/2015,8055.111176,2397.69,3.359529871,
2/1/2015,7926.995294,2420.38,3.275103618,
3/1/2015,7623.979412,2586.58,2.947513478,
4/1/2015,7622.313529,2495.36,3.05459474,
5/1/2015,7613.412353,2439.09,3.121415099,
6/1/2015,7761.268824,2554.94,3.037749937,
7/1/2015,7800.134118,2731.9,2.855204846,
8/1/2015,7687.470588,3023.29,2.54274998,
9/1/2015,7605.905882,3073.12,2.474978485,
10/1/2015,7625.076471,2937.85,2.595461467,
11/1/2015,7539.323529,2996.67,2.515900493,
12/1/2015,7422.058824,3244.51,2.287574649,
1/1/2016,7395.647059,3284.03,2.252003501,
2/1/2016,7293.235294,3357.5,2.172221979,
3/1/2016,7281.876471,3145.26,2.315190627,
4/1/2016,7243.176471,2998.71,2.415430792,
5/1/2016,7195.444444,2988.38,2.407807723,
6/1/2016,7195.444444,2991.68,2.405151769,
7/1/2016,7195.444444,2963.99,2.427621026,
8/1/2016,7104.444444,2963.82,2.397056651,
9/1/2016,7238.888889,2921.15,2.478095575,
10/1/2016,7238.888889,2932.61,2.468411718,
11/1/2016,7356.722222,3106.4,2.368246917,
12/1/2016,7356.722222,3009.53,2.444475457,
1/1/2017,7356.722222,2944.65,2.498335022,5.47
2/1/2017,7579.222222,2881.68,2.630140134,5.18
3/1/2017,7594.444444,2943.49,2.580081619,4.69
4/1/2017,7583.777778,2873.55,2.639166807,4.66
5/1/2017,7561,2924,2.585841313,4.37
6/1/2017,7580.555556,2958.36,2.562418217,3.99
7/1/2017,7595.388889,3038.76,2.499502721,3.4
8/1/2017,7689.277778,2972.62,2.586700546,3.87
9/1/2017,7821.388889,2918.49,2.6799437,3.97
10/1/2017,7821.388889,2955.06,2.64677837,4.05
11/1/2017,7823.333333,3013.17,2.596379671,4.12
12/1/2017,7978.888889,2991.42,2.667257987,4.09
1/1/2018,7963.5,2867.68,2.776983485,3.68
2/1/2018,8096.777778,2860,2.831041181,3.37
3/1/2018,7997.538462,2852.46,2.803733781,3.14
4/1/2018,7997.538462,2765.96,2.891415082,3.13
5/1/2018,8185.333333,2862.95,2.859055636,3.16
6/1/2018,8341.055556,2893.22,2.88296623,3.2
7/1/2018,8341.055556,2885.55,2.890629362,3.12
8/1/2018,8341.055556,2959.57,2.818333594,3.1
9/1/2018,8443.055556,3037.8,2.779332265,3.23
10/1/2018,8547.777778,3080.48,2.774820086,3.33
11/1/2018,8631.764706,3198.13,2.699003701,3.27
12/1/2018,8631.764706,3212.48,2.686947376,3.18
1/1/2019,8480.692308,3161.91,2.68214222,3.15
2/1/2019,8694.111111,3115.15,2.790912512,3.01
3/1/2019,8783.944444,3125.34,2.810556434,3.21
4/1/2019,8783.944444,3155.22,2.783940405,3.25
5/1/2019,8783.944444,3310.49,2.653366856,3.31
6/1/2019,8783.944444,3256.02,2.697755064,3.43
7/1/2019,8934.222222,3208.11,2.784886498,3.79
8/1/2019,8934.222222,3412.65,2.617972022,3.75
9/1/2019,9028.388889,3399.62,2.655705311,3.82
10/1/2019,8988.555556,3437.73,2.61467758,3.86
11/1/2019,8984.444444,3411.42,2.633637736,3.84
12/1/2019,8980.222222,3383,2.654514402,3.8
1/1/2020,9167.722222,3317.37,2.763551314,3.6
2/1/2020,9167.111111,3408.24,2.689690606,3.72
3/1/2020,9058,3870.01,2.340562427,3.86
4/1/2020,8217.611111,3986.56,2.061328843,3.51
5/1/2020,8217.611111,3863.34,2.12707427,2.85
6/1/2020,8217.611111,3693,2.225185787,2.19
7/1/2020,8091.333333,3660.6,2.210384454,1.97
8/1/2020,8092.111111,3788.1,2.13619258,1.88
9/1/2020,8091.944444,3749.86,2.157932415,1.97
10/1/2020,8089.111111,3833.06,2.110353376,1.75
11/1/2020,8087.777778,3680.67,2.197365637,1.49
12/1/2020,8083.222222,3468.5,2.33046626,1.61
1/1/2021,8208.444444,3494.53,2.3489409,1.6
2/1/2021,8354.888889,3552.43,2.351879949,1.56
3/1/2021,8504.166667,3617,2.351165791,1.51
4/1/2021,8477.777778,3651.85,2.321502191,1.95
5/1/2021,8477.777778,3741.96,2.265598183,3.3
6/1/2021,8467.222222,3693,2.292776123,3.63
7/1/2021,8466.777778,3832.24,2.209354784,3.97
8/1/2021,8460.777778,3887.68,2.176305091,4.44
9/1/2021,8610.777778,3820.28,2.253965096,4.51
10/1/2021,8610.777778,3771.68,2.283008574,4.58
11/1/2021,8610.777778,3900.51,2.207603051,5.26
12/1/2021,8790.777778,3967.77,2.215546208,5.62
