Date,Price LC,FX,Price USD,Inflation Rate
1/1/2017,152.4,46.6872,3.264278003,2.33
2/1/2017,152.75,47.0221,3.248472527,3.34
3/1/2017,151,47.2145,3.198170054,3.14
4/1/2017,151.2,47.2841,3.197692247,3.51
5/1/2017,143,47.3383,3.020809788,3.11
6/1/2017,139.75,47.4114,2.947603319,2.55
7/1/2017,144,47.4402,3.035400357,2.54
8/1/2017,144,47.47677727,3.03306181,3.18
9/1/2017,150.4,47.6218,3.158217455,3.8
10/1/2017,157.3,47.7346,3.295303616,3.48
11/1/2017,162.5,47.87618571,3.394171812,4.14
12/1/2017,167.1,48.113545,3.473034465,4.2
1/1/2018,175.3,48.33461905,3.626800075,3.86
2/1/2018,171.5,48.7441,3.518374531,3.32
3/1/2018,174.3,49.11128571,3.549082405,3.91
4/1/2018,184.75,49.2859,3.7485366,4.05
5/1/2018,187.7,49.3106,3.806483799,4.47
6/1/2018,185,49.3206,3.750968155,4.63
7/1/2018,184.5,49.4896,3.728055996,4.43
8/1/2018,190.825,49.6484,3.843527687,3.87
9/1/2018,194.3,49.7497,3.905551189,3.29
10/1/2018,194.3,49.8991,3.893857805,3.52
11/1/2018,187.95,50.0665,3.75400717,2.37
12/1/2018,169.55,50.1472,3.3810462,1.17
1/1/2019,167.02,50.29,3.321137403,0.71
2/1/2019,174.1,50.3973,3.454550145,1.19
3/1/2019,180.425,50.438,3.577164043,1.47
4/1/2019,180.84,50.4555,3.584148408,1.61
5/1/2019,184.175,50.4662,3.64947232,1.31
6/1/2019,174.35,50.6134,3.444739931,0.92
7/1/2019,174.58,50.814,3.435667336,1.4
8/1/2019,175.88,51.0589,3.444649219,1.72
9/1/2019,176.325,51.5333,3.421574011,2.02
10/1/2019,181.9774194,52.6174,3.458502688,2.48
11/1/2019,180.37,52.7642,3.418416275,3.23
12/1/2019,180.8548387,52.8421,3.422552069,3.66
1/1/2020,182.9124,53.0417,3.448464133,4.17
2/1/2020,168.4296,53.2906,3.160587421,3.66
3/1/2020,150.192,53.6575,2.799086801,2.45
4/1/2020,125.5176,54.1209,2.319207552,1.07
5/1/2020,113.1804,55.3105,2.046273312,0.99
6/1/2020,135.2866667,57.8569,2.338297881,2.9
7/1/2020,149.8774194,53.64,2.794135335,4.35
8/1/2020,141.195486,53.64,2.632279754,4.8
9/1/2020,128.736,53.64,2.4,5.03
10/1/2020,134.1,53.64,2.5,5.03
11/1/2020,136.782,53.64,2.55,5.26
12/1/2020,150.192,53.64,2.8,5.55
1/1/2021,127.1761476,53.64,2.370919978,6.23
2/1/2021,130.7088184,53.64,2.436778867,7.09
3/1/2021,137.7741599,53.64,2.568496643,8.3
4/1/2021,144.8395015,53.64,2.70021442,9.65
5/1/2021,151.904843,53.64,2.831932196,10.48
6/1/2021,155.4375138,53.64,2.897791085,9.32
7/1/2021,158.9701845,53.64,2.963649973,7.88
8/1/2021,162.5028553,53.64,3.029508861,7.9
9/1/2021,166.0355261,53.64,3.095367749,7.74
10/1/2021,169.5681968,53.64,3.161226638,7.72
11/1/2021,173.1008676,53.64,3.227085526,8.23
12/1/2021,176.6335384,53.64,3.292944414,8.5
