Date,Price USD,Inflation Rate
1/1/2017,2.51,-0.25
2/1/2017,2.56,0.29
3/1/2017,2.51,0.54
4/1/2017,2.47,0.86
5/1/2017,2.44,0.96
6/1/2017,2.42,0.92
7/1/2017,2.31,1.01
8/1/2017,2.44,1.38
9/1/2017,2.53,1.56
10/1/2017,2.66,1.43
11/1/2017,2.68,1.67
12/1/2017,2.84,2.03
1/1/2018,3.02,1.42
2/1/2018,3.14,1.22
3/1/2018,3.03,0.91
4/1/2018,3.04,0.87
5/1/2018,3.24,0.82
6/1/2018,3,0.89
7/1/2018,3.29,1.06
8/1/2018,3.27,1.44
9/1/2018,3.34,1.38
10/1/2018,3.46,1.49
11/1/2018,3.38,1.075
12/1/2018,3.03,0.43
1/1/2019,2.83,0.25
2/1/2019,2.95,0.34
3/1/2019,3.07,0.67
4/1/2019,3.11,0.8
5/1/2019,3.18,0.8
6/1/2019,3.11,0.52
7/1/2019,2.98,0.12
8/1/2019,2.99,-0.48
9/1/2019,2.94,-0.68
10/1/2019,3.03,-0.86
11/1/2019,2.98,-0.57
12/1/2019,3.03,-0.09
1/1/2020,2.47,-0.08
2/1/2020,2.31,-0.39
3/1/2020,2.36,-0.53
4/1/2020,1.71,-1.04
5/1/2020,1.65,-0.94
6/1/2020,1.51,-0.23
7/1/2020,1.74,0.062
8/1/2020,1.79,-0.303
9/1/2020,1.84,-0.308
10/1/2020,1.9,-0.205
11/1/2020,1.95,-1.16
12/1/2020,2.01,-0.303
1/1/2021,1.92,6.48
2/1/2021,1.94,1.063
3/1/2021,1.96,1.77
4/1/2021,1.99,2.79
5/1/2021,2,2.59
6/1/2021,2.03,2.59
7/1/2021,2.05,3.44
8/1/2021,2.07,4.3
9/1/2021,2.09,4.96
10/1/2021,2.09,5.49
11/1/2021,2.07,6.19
12/1/2021,2.07,6.48
