Date,Price LC,FX,Price USD,Inflation Rate
1/1/2017,65.109052,21.891,2.974238363,4.72
2/1/2017,64.8819274,20.8155,3.117000668,4.86
3/1/2017,64.3141159,19.9265,3.227567104,5.35
4/1/2017,64.1248454,19.149,3.348730764,5.82
5/1/2017,63.8598667,19.1225,3.339514535,6.16
6/1/2017,62.837806,18.67,3.365710016,6.31
7/1/2017,62.7620978,18.3295,3.424103102,6.44
8/1/2017,63.3677634,17.9835,3.523661323,6.66
9/1/2017,64.4655323,18.237,3.534875928,6.35
10/1/2017,64.8440733,19.1785,3.381081591,6.37
11/1/2017,65.2226143,19.2565,3.387044079,6.63
12/1/2017,64.6548028,19.7325,3.276564186,6.77
1/1/2018,65.7904258,19.484,3.376638565,5.55
2/1/2018,67.9102554,18.901,3.592945103,5.34
3/1/2018,70.3707719,18.8635,3.730525719,5.04
4/1/2018,70.787167,19.02,3.721722766,4.55
5/1/2018,71.5063949,20.0005,3.575230364,4.51
6/1/2018,71.7713736,20.67,3.47224836,4.65
7/1/2018,72.7177261,20.169,3.605420502,4.81
8/1/2018,74.194036,19.2655,3.851134723,4.9
9/1/2018,75.9731787,19.427,3.910700504,5.02
10/1/2018,77.6766132,20.255,3.834935236,4.9
11/1/2018,78.4715493,20.542,3.820054002,4.72
12/1/2018,79.115069,20.496,3.860024834,4.83
1/1/2019,78.5094034,19.6095,4.003641266,4.37
2/1/2019,78.5094034,19.405,4.045833723,3.94
3/1/2019,81.8027101,19.5795,4.177977482,4
4/1/2019,82.4462298,19.2245,4.288602034,4.41
5/1/2019,80.7427953,19.652,4.108629926,4.28
6/1/2019,80.3642543,19.768,4.065371019,3.95
7/1/2019,79.9100051,19.227,4.156134868,3.78
8/1/2019,80.5156707,20.1185,4.002071263,3.16
9/1/2019,80.2885461,19.992,4.016033718,3
10/1/2019,79.3421936,19.776,4.012044579,3.02
11/1/2019,79.6071723,19.543,4.073436642,2.97
12/1/2019,79.3043395,19.567,4.052963638,2.83
1/1/2020,79.872151,18.9599,4.212688411,3.24
2/1/2020,80.1749838,19.73,4.063607897,3.7
3/1/2020,79.7964428,25.132,3.17509322,3.25
4/1/2020,75.1782426,24.832,3.027474332,2.15
5/1/2020,70.8250211,24.8066,2.855087803,2.84
6/1/2020,68.9323161,23.123,2.981114739,3.33
7/1/2020,71.2414162,22.855,3.117104187,3.62
8/1/2020,73.436954,22.746,3.228565638,4.05
9/1/2020,74.1561819,22.507,3.294805256,4.01
10/1/2020,71.5821031,21.976,3.257285361,4.09
11/1/2020,70.9764375,21.457,3.307845342,3.33
12/1/2020,72.0363523,20.218,3.562981121,3.15
1/1/2021,74.2318901,20.255,3.664867445,3.54
2/1/2021,76.7681148,20.935,3.666974674,3.76
3/1/2021,79.4557559,21.45,3.704231044,4.67
4/1/2021,80.0235674,20.3358,3.935107908,6.08
5/1/2021,81.007774,20.256,3.999198953,5.89
6/1/2021,81.3484609,20.671,3.935390687,5.88
7/1/2021,81.3484609,20.1934,4.028467762,5.81
8/1/2021,81.4620232,20.425,3.988348749,5.59
9/1/2021,81.8784183,20.562,3.982025985,6
10/1/2021,80.8942117,20.768,3.895137312,6.24
11/1/2021,80.8185035,21.853,3.698279573,7.37
12/1/2021,81.1970445,21.439,3.787352232,7.36
