Date,Price LC,FX,Price USD,Inflation,year,month,1_month_predict,2_month_predict,3_month_predict,4_month_predict,5_month_predict,6_month_predict,7_month_predict,8_month_predict,9_month_predict,10_month_predict,11_month_predict,12_month_predict,Last 6Month Price,Last 7Month Price,Last 8Month Price,3month avg,exponential average
1/1/2015,8055.111176,2397.69,3.359529871,,2015,1,,,,,,,,,,,,,,,,,
2/1/2015,7926.995294,2420.38,3.275103618,,2015,2,,,,,,,,,,,,,,,,,
3/1/2015,7623.979412,2586.58,2.947513478,,2015,3,,,,,,,,,,,,,,,,,
4/1/2015,7622.313529,2495.36,3.05459474,,2015,4,,,,,,,,,,,,,,,,,
5/1/2015,7613.412353,2439.09,3.121415099,,2015,5,,,,,,,,,,,,,,,,,
6/1/2015,7761.268824,2554.94,3.037749937,,2015,6,,,,,,,,,,,,,,,,,
7/1/2015,7800.134118,2731.9,2.855204846,,2015,7,,,,,,,,,,,,,3.359529871,,,,3.359529871
8/1/2015,7687.470588,3023.29,2.54274998,,2015,8,,,,,,,,,,,,,3.275103618,3.359529871,,,3.282139139083334
9/1/2015,7605.905882,3073.12,2.474978485,,2015,9,,,,,,,,,,,,,2.947513478,3.275103618,3.359529871,3.194048989,2.9777052669699247
10/1/2015,7625.076471,2937.85,2.595461467,,2015,10,,,,,,,,,,,,,3.05459474,2.947513478,3.275103618,3.092403945333333,3.047609562463798
11/1/2015,7539.323529,2996.67,2.515900493,,2015,11,,,,,,,,,,,,,3.121415099,3.05459474,2.947513478,3.041174439,3.114705921385036
12/1/2015,7422.058824,3244.51,2.287574649,,2015,12,,,,,,,,,,,,,3.037749937,3.121415099,3.05459474,3.0712532586666668,3.044745896089847
1/1/2016,7395.647059,3284.03,2.252003501,,2016,1,,,,,,,,,,,,,2.855204846,3.037749937,3.121415099,3.004789960666667,2.872435841711392
2/1/2016,7293.235294,3357.5,2.172221979,,2016,2,,,,,,,,,,,,,2.54274998,2.855204846,3.037749937,2.8119015876666666,2.5727214205755726
3/1/2016,7281.876471,3145.26,2.315190627,,2016,3,,,,,,,,,,,,,2.474978485,2.54274998,2.855204846,2.6243111036666664,2.483864206378277
4/1/2016,7243.176471,2998.71,2.415430792,,2016,4,,,,,,,,,,,,,2.595461467,2.474978485,2.54274998,2.537729977333333,2.5853162614928453
5/1/2016,7195.444444,2988.38,2.407807723,,2016,5,,,,,,,,,,,,,2.515900493,2.595461467,2.474978485,2.528780148333333,2.5222110174082193
6/1/2016,7195.444444,2991.68,2.405151769,,2016,6,,,,,,,,,,,,,2.287574649,2.515900493,2.595461467,2.4663122029999998,2.3089052279461337
7/1/2016,7195.444444,2963.99,2.427621026,,2016,7,,,,,,,,,,,,,2.252003501,2.287574649,2.515900493,2.3518262143333337,2.2571763852678286
8/1/2016,7104.444444,2963.82,2.397056651,,2016,8,,,,,,,,,,,,,2.172221979,2.252003501,2.287574649,2.2372667096666667,2.1799451068425295
9/1/2016,7238.888889,2921.15,2.478095575,,2016,9,,,,,,,,,,,,,2.315190627,2.172221979,2.252003501,2.2464720356666663,2.302895579712957
10/1/2016,7238.888889,2932.61,2.468411718,,2016,10,,,,,,,,,,,,,2.415430792,2.315190627,2.172221979,2.300947799333333,2.4052003181557233
11/1/2016,7356.722222,3106.4,2.368246917,,2016,11,,,,,,,,,,,,,2.407807723,2.415430792,2.315190627,2.3794763806666666,2.4075706861959745
12/1/2016,7356.722222,3009.53,2.444475457,,2016,12,,,,,,,,,,,,,2.405151769,2.407807723,2.415430792,2.409463428,2.4053716705632704
1/1/2017,7356.722222,2944.65,2.498335022,5.47,2017,1,,,,,,,,,,,,,2.427621026,2.405151769,2.407807723,2.413526839333333,2.425598357323934
2/1/2017,7579.222222,2881.68,2.630140134,5.18,2017,2,,,,,,,,,,,,,2.397056651,2.427621026,2.405151769,2.4099431486666667,2.399651351574903
3/1/2017,7594.444444,2943.49,2.580081619,4.69,2017,3,,,,,,,,,,,,,2.478095575,2.397056651,2.427621026,2.434257750666667,2.4709642819613546
4/1/2017,7583.777778,2873.55,2.639166807,4.66,2017,4,,,,,,,,,,,,,2.468411718,2.478095575,2.397056651,2.447854648,2.468643769269214
5/1/2017,7561.0,2924.0,2.585841313,4.37,2017,5,,,,,,,,,,,,,2.368246917,2.468411718,2.478095575,2.4382514033333336,2.3773739035699286
6/1/2017,7580.555556,2958.36,2.562418217,3.99,2017,6,,,,,,,,,,,,,2.444475457,2.368246917,2.468411718,2.4270446973333333,2.4383753157790844
7/1/2017,7595.388889,3038.76,2.499502721,3.4,2017,7,,,,,,,,,,,,,2.498335022,2.444475457,2.368246917,2.437019132,2.4928841396162804
8/1/2017,7689.277778,2972.62,2.586700546,3.87,2017,8,,,,,,,,,,,,,2.630140134,2.498335022,2.444475457,2.524316871,2.6176623163287527
9/1/2017,7821.388889,2918.49,2.6799437,3.97,2017,9,,,,,,,,,,,,,2.580081619,2.630140134,2.498335022,2.569518925,2.583498046029886
10/1/2017,7821.388889,2955.06,2.64677837,4.05,2017,10,,,,,,,,,,,,,2.639166807,2.580081619,2.630140134,2.616462853333333,2.6341060105481713
11/1/2017,7823.333333,3013.17,2.596379671,4.12,2017,11,,,,,,,,,,,,,2.585841313,2.639166807,2.580081619,2.6016965796666667,2.5902290127771064
12/1/2017,7978.888889,2991.42,2.667257987,4.09,2017,12,,,,,,,,,,,,,2.562418217,2.585841313,2.639166807,2.595808779,2.5649464711615546
1/1/2018,7963.5,2867.68,2.776983485,3.68,2018,1,,,,,,,,,,,,,2.499502721,2.562418217,2.585841313,2.5492540836666664,2.5054521528328686
2/1/2018,8096.777778,2860.0,2.831041181,3.37,2018,2,,,,,,,,,,,,,2.586700546,2.499502721,2.562418217,2.5495404946666667,2.5793143284393514
3/1/2018,7997.538462,2852.46,2.803733781,3.14,2018,3,,,,,,,,,,,,,2.6799437,2.586700546,2.499502721,2.588715655666667,2.6707955753126678
4/1/2018,7997.538462,2765.96,2.891415082,3.13,2018,4,,,,,,,,,,,,,2.64677837,2.6799437,2.586700546,2.637807538666667,2.648961752301151
5/1/2018,8185.333333,2862.95,2.859055636,3.16,2018,5,,,,,,,,,,,,,2.596379671,2.64677837,2.6799437,2.6410339136666665,2.601159860209195
6/1/2018,8341.055556,2893.22,2.88296623,3.2,2018,6,,,,,,,,,,,,,2.667257987,2.596379671,2.64677837,2.636805342666667,2.661249066382654
7/1/2018,8341.055556,2885.55,2.890629362,3.12,2018,7,2.679574323172739,2.7894714709388735,2.8490600083659263,2.8677252681358465,2.888437972743651,2.937092069557453,2.994642360572015,3.035652222772368,3.05471951073453,3.063755906680939,3.0736077668094333,3.083004979945076,2.776983485,2.667257987,2.596379671,2.6802070476666664,2.766462174216605
8/1/2018,8341.055556,2959.57,2.818333594,3.1,2018,8,2.8899085070629082,2.847090452825012,2.848455678401049,2.8030866127411787,2.9770056130291853,3.021386446073626,2.930747621051801,2.8976690719995206,2.843469680934113,2.8996422077634976,2.9317659776229745,2.835144932542593,2.831041181,2.776983485,2.667257987,2.7584275510000005,2.825170362201509
9/1/2018,8443.055556,3037.8,2.779332265,3.23,2018,9,2.786312773396231,2.805920134903846,2.7505619130437995,2.9397759468158036,2.938042769494674,2.842214550579221,2.8429030816099483,2.785179607959271,2.85833759807776,2.8728264795248717,2.7638568060939677,2.729794852818874,2.803733781,2.831041181,2.776983485,2.8039194823333333,2.805682561109228
10/1/2018,8547.777778,3080.48,2.774820086,3.33,2018,10,2.800733456702902,2.746298999217633,2.9350304015066992,2.9345116135346583,2.8327446616706213,2.8340143150799735,2.7788857453553817,2.851445836433962,2.8676908121167966,2.7549134883952338,2.720255911083502,2.6784138432414335,2.891415082,2.803733781,2.831041181,2.842063348,2.883621216464475
11/1/2018,8631.764706,3198.13,2.699003701,3.27,2018,11,2.724672513719785,2.921108226935327,2.915805354733056,2.818199041970236,2.8016887386418405,2.7454149243686503,2.8321916633536848,2.8457756051678196,2.7371515123527326,2.6947336631189183,2.6492273877206163,2.677470614760998,2.859055636,2.891415082,2.803733781,2.851401499666667,2.8612888705876793
12/1/2018,8631.764706,3212.48,2.686947376,3.18,2018,12,2.900373385718585,2.901675569997079,2.799738236257341,2.7872434490538356,2.712440535226085,2.7995238687775417,2.826453124522027,2.7151180695578807,2.6774244622414947,2.622947851098072,2.6489059356827958,2.6849136017138826,2.88296623,2.859055636,2.891415082,2.877812316,2.880995560962516
1/1/2019,8480.692308,3161.91,2.68214222,3.15,2019,1,2.704389183243751,2.662618410999,2.630560890427201,2.581662432560288,2.5527756358581892,2.560296470008048,2.542527056354082,2.5204317126017335,2.5019452402971933,2.493499447649516,2.510805928301743,2.5225114670368725,2.890629362,2.88296623,2.859055636,2.8775504093333333,2.889753561905683
2/1/2019,8694.111111,3115.15,2.790912512,3.01,2019,2,2.6386973630772697,2.6118707401600605,2.5620260177864007,2.534402096877367,2.53314650063877,2.512986983657273,2.4983271948347787,2.483774424396837,2.478816454251495,2.4958546691741925,2.5081107075251428,2.5185270508591233,2.818333594,2.890629362,2.88296623,2.8639763953333333,2.8248263183550617
3/1/2019,8783.944444,3125.34,2.810556434,3.21,2019,3,2.8207858865328506,2.784889563562568,2.7580642518527703,2.742021872316199,2.7482295427571724,2.752597076022397,2.7347714944159773,2.70682400118516,2.680217712100102,2.659873134699931,2.6432178470286636,2.623825540280598,2.779332265,2.818333594,2.890629362,2.8294317403333333,2.7834680880322784
4/1/2019,8783.944444,3155.22,2.783940405,3.25,2019,4,2.7757095260394204,2.7529318274034207,2.7380990230429285,2.7444945000145275,2.74680752696928,2.7277171344070372,2.7004941053440144,2.674906655918596,2.6551475363862114,2.638418717545322,2.6187764116371026,2.596358085224737,2.774820086,2.779332265,2.818333594,2.790828648333333,2.7756062680029343
5/1/2019,8783.944444,3310.49,2.653366856,3.31,2019,5,2.760580531249557,2.742563865546317,2.7482080509274196,2.750506826535826,2.7328944166535214,2.7063914380688314,2.679890962941384,2.6590782927807073,2.641705140390533,2.621845316193899,2.599236714739372,2.5771618229054134,2.699003701,2.774820086,2.779332265,2.751052017333334,2.7059675707275397
6/1/2019,8783.944444,3256.02,2.697755064,3.43,2019,6,2.638024931231784,2.6819755064806046,2.6965511068944754,2.678312136411866,2.6296243127389975,2.5923743483561696,2.5836626336494732,2.582241487057128,2.572613533624087,2.5530530126096314,2.5338079778201874,2.524767043240921,2.686947376,2.699003701,2.774820086,2.720257054333333,2.6886764846115945
