Date,Price LC,FX,Price USD,Inflation Rate,year,month,1_month_predict,2_month_predict,3_month_predict,4_month_predict,5_month_predict,6_month_predict,7_month_predict,8_month_predict,9_month_predict,10_month_predict,11_month_predict,12_month_predict,Last 6Month Price,Last 7Month Price,Last 8Month Price,3month avg,exponential average
1/1/2017,152.4,46.6872,3.264278003,2.33,2017,1,,,,,,,,,,,,,,,,,
2/1/2017,152.75,47.0221,3.248472527,3.34,2017,2,,,,,,,,,,,,,,,,,
3/1/2017,151.0,47.2145,3.198170054,3.14,2017,3,,,,,,,,,,,,,,,,,
4/1/2017,151.2,47.2841,3.197692247,3.51,2017,4,,,,,,,,,,,,,,,,,
5/1/2017,143.0,47.3383,3.020809788,3.11,2017,5,,,,,,,,,,,,,,,,,
6/1/2017,139.75,47.4114,2.947603319,2.55,2017,6,,,,,,,,,,,,,,,,,
7/1/2017,144.0,47.4402,3.035400357,2.54,2017,7,,,,,,,,,,,,,3.264278003,,,,3.264278003
8/1/2017,144.0,47.47677727,3.03306181,3.18,2017,8,,,,,,,,,,,,,3.248472527,3.264278003,,,3.2497896500000003
9/1/2017,150.4,47.6218,3.158217455,3.8,2017,9,,,,,,,,,,,,,3.198170054,3.248472527,3.264278003,3.236973528,3.2028274611578946
10/1/2017,157.3,47.7346,3.295303616,3.48,2017,10,,,,,,,,,,,,,3.197692247,3.198170054,3.248472527,3.214778276,3.1981587657725408
11/1/2017,162.5,47.87618571,3.394171812,4.14,2017,11,,,,,,,,,,,,,3.020809788,3.197692247,3.198170054,3.1388906963333336,3.036931421247998
12/1/2017,167.1,48.113545,3.473034465,4.2,2017,12,,,,,,,,,,,,,2.947603319,3.020809788,3.197692247,3.055368451333333,2.955724009728533
1/1/2018,175.3,48.33461905,3.626800075,3.86,2018,1,,,,,,,,,,,,,3.035400357,2.947603319,3.020809788,3.0012711546666666,3.028157056419554
2/1/2018,171.5,48.7441,3.518374531,3.32,2018,2,,,,,,,,,,,,,3.03306181,3.035400357,2.947603319,3.0053551620000003,3.0326159233316696
3/1/2018,174.3,49.11128571,3.549082405,3.91,2018,3,,,,,,,,,,,,,3.158217455,3.03306181,3.035400357,3.075559874,3.1467991339876678
4/1/2018,184.75,49.2859,3.7485366,4.05,2018,4,,,,,,,,,,,,,3.295303616,3.158217455,3.03306181,3.162194293666667,3.2818032085495386
5/1/2018,187.7,49.3106,3.806483799,4.47,2018,5,,,,,,,,,,,,,3.394171812,3.295303616,3.158217455,3.2825642943333335,3.383956484413953
6/1/2018,185.0,49.3206,3.750968155,4.63,2018,6,,,,,,,,,,,,,3.473034465,3.394171812,3.295303616,3.3875032976666666,3.464936466764931
7/1/2018,184.5,49.4896,3.728055996,4.43,2018,7,,,,,,,,,,,,,3.626800075,3.473034465,3.394171812,3.4980021173333333,3.612085201524089
8/1/2018,190.825,49.6484,3.843527687,3.87,2018,8,,,,,,,,,,,,,3.518374531,3.626800075,3.473034465,3.5394030236666665,3.526893682865826
9/1/2018,194.3,49.7497,3.905551189,3.29,2018,9,,,,,,,,,,,,,3.549082405,3.518374531,3.626800075,3.564752337,3.5470652484423475
10/1/2018,194.3,49.8991,3.893857805,3.52,2018,10,,,,,,,,,,,,,3.7485366,3.549082405,3.518374531,3.605331178666667,3.7302210225856673
11/1/2018,187.95,50.0665,3.75400717,2.37,2018,11,,,,,,,,,,,,,3.806483799,3.7485366,3.549082405,3.701367601333333,3.7995508193259697
12/1/2018,169.55,50.1472,3.3810462,1.17,2018,12,,,,,,,,,,,,,3.750968155,3.806483799,3.7485366,3.768662851333333,3.7553847608478153
1/1/2019,167.02,50.29,3.321137403,0.71,2019,1,,,,,,,,,,,,,3.728055996,3.750968155,3.806483799,3.761835983333333,3.7305404291679833
2/1/2019,174.1,50.3973,3.454550145,1.19,2019,2,,,,,,,,,,,,,3.843527687,3.728055996,3.750968155,3.7741839459999995,3.8332561181061804
3/1/2019,180.425,50.438,3.577164043,1.47,2019,3,,,,,,,,,,,,,3.905551189,3.843527687,3.728055996,3.825711624,3.898978909827834
4/1/2019,180.84,50.4555,3.584148408,1.61,2019,4,,,,,,,,,,,,,3.893857805,3.905551189,3.843527687,3.8809788936666667,3.8943233599843485
5/1/2019,184.175,50.4662,3.64947232,1.31,2019,5,,,,,,,,,,,,,3.75400717,3.893857805,3.905551189,3.8511387213333332,3.7667631872713043
6/1/2019,174.35,50.6134,3.444739931,0.92,2019,6,,,,,,,,,,,,,3.3810462,3.75400717,3.893857805,3.676303725,3.416111380661028
7/1/2019,174.58,50.814,3.435667336,1.4,2019,7,3.7285093664274087,3.7076814183764553,3.6883659417362726,3.670453104767181,3.6538410514247466,3.6384353221855394,3.6241483169310174,3.610898796835385,3.5986114224250625,3.587216325183071,3.5766487102623956,3.5668484880492715,3.321137403,3.3810462,3.75400717,3.485396924333333,3.329771400969184
8/1/2019,175.88,51.0589,3.444649219,1.72,2019,8,3.42374479782676,3.4135145008067007,3.4047362105686596,3.3972038408483876,3.3907405556226378,3.3851946175632026,3.380435825728277,3.376352458859506,3.3728486525230736,3.3698421485184697,3.3672623637182344,3.365048733001184,3.454550145,3.321137403,3.3810462,3.3855779160000004,3.44320662281538
9/1/2019,176.325,51.5333,3.421574011,2.02,2019,9,3.432317790378598,3.4217063999215833,3.412575130041627,3.404717527406199,3.3979559356464577,3.392137478637794,3.3871306040489966,3.3828221090114607,3.37911458066034,3.3759241936795945,3.3731788150545503,3.3708163731814054,3.577164043,3.454550145,3.321137403,3.4509505303333334,3.5649860957104886
10/1/2019,181.9774194,52.6174,3.458502688,2.48,2019,10,3.4121856367663885,3.404099747911431,3.397135723316313,3.391137911643243,3.3859722571608004,3.381523303494617,3.377691613088083,3.3743915446960195,3.37154933923659,3.3691014712187513,3.366993228898381,3.3651774914284647,3.584148408,3.577164043,3.454550145,3.5386208653333333,3.582406379610044
11/1/2019,180.37,52.7642,3.418416275,3.23,2019,11,3.445594425464935,3.4344416045742703,3.4248055572417564,3.416480003634761,3.4092867177913972,3.403071712319466,3.39770194197289,3.3930624555387765,3.3890539350652618,3.3855905697521442,3.382598218990471,3.3800128252270776,3.64947232,3.584148408,3.577164043,3.6035949236666664,3.6433754163281855
12/1/2019,180.8548387,52.8421,3.422552069,3.66,2019,12,3.4101712976586076,3.4030518259026454,3.396904209248937,3.391595783031879,3.3870119921923916,3.383053919196547,3.3796361494096994,3.376684927861194,3.374136567622925,3.3719360754547654,3.370035965058512,3.3683952323305384,3.444739931,3.64947232,3.584148408,3.5594535529999995,3.462797702393471
1/1/2020,182.9124,53.0417,3.448464133,4.17,2020,1,3.4141600788070243,3.4069015126199513,3.4006233196966464,3.395193086594628,3.3904962842022073,3.386433852203616,3.3829201097966948,3.379880948598063,3.3772522696223155,3.3749786313695473,3.373012080508014,3.371311140489835,3.435667336,3.444739931,3.64947232,3.5099598623333335,3.438133732944861
2/1/2020,168.4296,53.2906,3.160587421,3.66,2020,2,3.4376355529325644,3.4282476241436872,3.420108696811088,3.4130525996021044,3.4069352691741495,3.401631808853742,3.39703393863872,3.393047784460695,3.3895919615714205,3.3865959129218544,3.3839984686088296,3.381746596977759,3.444649219,3.435667336,3.444739931,3.4416854953333336,3.4440569020858964
3/1/2020,150.192,53.6575,2.799086801,2.45,2020,3,3.1847647683653886,3.2052519465859204,3.2226121040858855,3.2373225276092956,3.249787654163506,3.2603501902975065,3.269300534210733,3.276884759736567,3.2833113817059987,3.288757088693126,3.29337160075416,3.2972817857148566,3.421574011,3.444649219,3.435667336,3.4339635220000004,3.423617910189627
4/1/2020,125.5176,54.1209,2.319207552,1.07,2020,4,2.8535257684332755,2.901192213024256,2.9429286820935783,2.9794728981625918,3.011470806895134,3.0394879946581046,3.064019685672875,3.085499495464475,3.104307095332154,3.1207749233164144,3.135194060283765,3.147819374993267,3.458502688,3.421574011,3.444649219,3.4415753060000003,3.4553313445626928
5/1/2020,113.1804,55.3105,2.046273312,0.99,2020,5,2.3680913599960616,2.413704481085629,2.4562658495816234,2.4959796434413937,2.5330363800659397,2.5676138302614504,2.5998778710521084,2.6299832814353294,2.6580744848968805,2.6842862422479135,2.7087442981076353,2.7315659841329603,3.418416275,3.458502688,3.421574011,3.4328309913333332,3.42177219041479
6/1/2020,135.2866667,57.8569,2.338297881,2.9,2020,6,2.0813116931906372,2.114895003091081,2.1470835938469053,2.1779353883221204,2.207505903836804,2.235848352069649,2.2630137348115427,2.289050935742491,2.3140068083970324,2.337926260476438,2.360852334659417,2.38282628605674,3.422552069,3.418416275,3.458502688,3.4331570106666667,3.422481170946799
7/1/2020,149.8774194,53.64,2.794135335,4.35,2020,7,2.3847738596649153,2.4281088883424533,2.46851520719129,2.5061907471121883,2.541320062248305,2.574075234026164,2.604616714098856,2.6330941103206396,2.6596469196030403,2.684405211242366,2.7074902640659175,2.729015160517968,3.448464133,3.422552069,3.418416275,3.429810825666667,3.446102045540618
8/1/2020,141.195486,53.64,2.632279754,4.8,2020,8,2.836878081502844,2.8745840919435857,2.907846884896106,2.9371900421824235,2.9630754475588934,2.98591055712008,3.00605481296957,3.0238253011138205,3.0395017426386106,3.0533308967330455,3.065530444868073,3.0762924172694612,3.160587421,3.448464133,3.422552069,3.3438678743333328,3.186543295958238
9/1/2020,128.736,53.64,2.4,5.03,2020,9,2.6831717685901433,2.7286775064346918,2.7693671319332624,2.8057503596675275,2.8382829584354834,2.867372460618382,2.893383267295234,2.916641213056103,2.93743764769713,2.9560330859282287,2.972660470812966,2.9875280918213702,2.799086801,3.160587421,3.448464133,3.1360461183333332,2.8343101187234763
10/1/2020,134.1,53.64,2.5,5.03,2020,10,2.45606506662603,2.507238134944388,2.5539461392887897,2.596578675142692,2.635491344156181,2.671008720249931,2.7034270569142085,2.7330167582847267,2.7600246346068094,2.784675960900885,2.8071763560008187,2.8277134976382965,2.319207552,2.799086801,3.160587421,2.7596272579999996,2.3660350580657705
11/1/2020,136.782,53.64,2.55,5.26,2020,11,2.55007544819667,2.5956261279618604,2.637060892937342,2.6747516531504396,2.709036713202834,2.740223808823893,2.7685928690440207,2.794398528780729,2.817872414389894,2.8392252226968373,2.858648612168202,2.876316923199386,2.046273312,2.319207552,2.799086801,2.3881892216666665,2.0753425616423424
12/1/2020,150.192,53.64,2.8,5.55,2020,12,2.595220487816094,2.6363818940533132,2.6738485304984416,2.7079520506362473,2.738994337751961,2.7672501771925986,2.792969688758193,2.8163805407543783,2.837689965305055,2.8570865927646185,2.87474212146791,2.8908128375984634,2.338297881,2.046273312,2.319207552,2.234592915,2.3143928519674852
1/1/2021,127.1761476,53.64,2.370919978,6.23,2021,1,2.830660745023471,2.858163152953769,2.882832523024792,2.904960687992873,2.9248094187648745,2.9426135210855002,2.9585836132331775,2.9729086175839923,2.9857579955182767,2.9972837521082694,3.007622234301817,3.016895743874204,2.794135335,2.338297881,2.046273312,2.3929021759999998,2.7505223819970444
2/1/2021,130.7088184,53.64,2.436778867,7.09,2021,2,2.4283163657144047,2.4805271110455926,2.5280206967478795,2.571223310856379,2.6105226359801517,2.6462713282075536,2.6787901816979023,2.708371007357202,2.735279251430001,2.7597563775055436,2.7820220333133725,2.802276021752321,2.632279754,2.794135335,2.338297881,2.5882376566666667,2.643029083817913
3/1/2021,137.7741599,53.64,2.568496643,8.3,2021,3,2.4884097484020393,2.5353727254502214,2.5780897505949505,2.6169447029831545,2.6522867550098246,2.684433510177,2.713673857256974,2.740270566408831,2.764462650578481,2.7864675134030437,2.8064829029218723,2.824688688651345,2.4,2.632279754,2.794135335,2.6088050296666663,2.4220935530743555
4/1/2021,144.8395015,53.64,2.70021442,9.65,2021,4,2.6117972919005177,2.6509884803430257,2.6864602679009124,2.718565640627684,2.747624084785392,2.7739247661091295,2.797729407346582,2.819274892707541,2.838775625140716,2.8564256598955318,2.872400635600353,2.8868595220736504,2.5,2.4,2.632279754,2.510759918,2.492917595734032
5/1/2021,151.904843,53.64,2.831932196,10.48,2021,5,2.733920531917463,2.7642963818618127,2.79167098178572,2.816340866656987,2.8385732726557333,2.858609032006552,2.876665181790185,2.8929373149946436,2.907601699273492,2.920817186362721,2.9327269328399383,2.9434599508659782,2.55,2.5,2.4,2.483333333333333,2.5448106905212753
6/1/2021,155.4375138,53.64,2.897791085,9.32,2021,6,2.855003794079974,2.875722871126972,2.894329393496972,2.9110387610966963,2.926044411267676,2.939520058129233,2.9516217035939913,2.9624894433366,2.9722490886226094,2.98101362277273,2.988884509123359,2.9959528656250756,2.8,2.55,2.5,2.6166666666666667,2.7768009718655704
7/1/2021,158.9701845,53.64,2.963649973,7.88,2021,7,2.914962241565773,2.9303722773326717,2.944201867789862,2.956613102592083,2.9677514475627964,2.977747449625735,2.986718266879554,2.994769041748819,3.001994133305331,3.008478223203221,3.0142973081899047,3.0195195908256327,2.370919978,2.8,2.55,2.5736399926666667,2.4078182501695973
8/1/2021,162.5028553,53.64,3.029508861,7.9,2021,8,2.974913429649314,2.9850167758461716,2.994079512541813,3.0022088188938088,3.0095008349794554,3.0160417987826307,3.0219090660749597,3.027172025252768,3.0318929179490137,3.036127575125045,3.0399260773474683,3.043333347058798,2.436778867,2.370919978,2.8,2.535899615,2.4341460836517816
9/1/2021,166.0355261,53.64,3.095367749,7.74,2021,9,3.0348843755503743,3.039705163448441,3.0440284441130987,3.04790556048922,3.0513825569092936,3.0545007259123347,3.0572970986308663,3.0598048845697687,3.062053865999776,3.064070751649407,3.065879493895746,3.067501573221012,2.568496643,2.436778867,2.370919978,2.4587318293333333,2.5562829557865254
10/1/2021,169.5681968,53.64,3.161226638,7.72,2021,10,3.0949193807699453,3.09451730988399,3.09415669230689,3.093833254223068,3.0935431624452145,3.093282978985729,3.093049620311826,3.0928403208014217,3.092652599966696,3.092484233056893,3.0923332246919557,3.0921977852145206,2.70021442,2.568496643,2.436778867,2.5684966433333334,2.6871297414351387
11/1/2021,173.1008676,53.64,3.227085526,8.23,2021,11,3.155078954620865,3.1495620786603213,3.1446113733492904,3.140168735296168,3.13618202398312,3.1326044498248087,3.1293940250277257,3.1265130708052173,3.123927775164675,3.1216077960769164,3.1195259053704025,3.117657669170887,2.831932196,2.70021442,2.568496643,2.7002144196666666,2.8187683364941036
12/1/2021,176.6335384,53.64,3.292944414,8.5,2021,12,3.2154367725586144,3.2049728150636136,3.1955731997292403,3.187129666918982,3.179544968632745,3.1727317484574944,3.1666115354437903,3.1611138403202457,3.1561753436365896,3.1517391664848167,3.147754215398985,3.1441745938885757,2.897791085,2.831932196,2.70021442,2.8099792336666667,2.8906071987721913
