Date,Price USD,Inflation Rate,year,month,1_month_predict,2_month_predict,3_month_predict,4_month_predict,5_month_predict,6_month_predict,7_month_predict,8_month_predict,9_month_predict,10_month_predict,11_month_predict,12_month_predict,Last 3Month Price,Last 4Month Price,Last 5Month Price,3month avg,exponential average
1/1/2017,2.51,-0.25,2017,1,,,,,,,,,,,,,,,,,
2/1/2017,2.56,0.29,2017,2,,,,,,,,,,,,,,,,,
3/1/2017,2.51,0.54,2017,3,,,,,,,,,,,,,,,,,
4/1/2017,2.47,0.86,2017,4,,,,,,,,,,,,,2.51,,,,2.51
5/1/2017,2.44,0.96,2017,5,,,,,,,,,,,,,2.56,2.51,,,2.5558333333333336
6/1/2017,2.42,0.92,2017,6,,,,,,,,,,,,,2.51,2.56,2.51,2.526666666666667,2.5141353383458642
7/1/2017,2.31,1.01,2017,7,,,,,,,,,,,,,2.47,2.51,2.56,2.5133333333333336,2.47400956284153
8/1/2017,2.44,1.38,2017,8,,,,,,,,,,,,,2.44,2.47,2.51,2.473333333333333,2.443091586463831
9/1/2017,2.53,1.56,2017,9,,,,,,,,,,,,,2.42,2.44,2.47,2.4433333333333334,2.4220992232834337
10/1/2017,2.66,1.43,2017,10,,,,,,,,,,,,,2.31,2.42,2.44,2.39,2.3201908332508
11/1/2017,2.68,1.67,2017,11,,,,,,,,,,,,,2.44,2.31,2.42,2.39,2.429108258076362
12/1/2017,2.84,2.03,2017,12,,,,,,,,,,,,,2.53,2.44,2.31,2.4266666666666663,2.520828023500386
1/1/2018,3.02,1.42,2018,1,,,,,,,,,,,,,2.66,2.53,2.44,2.543333333333333,2.647348002141277
2/1/2018,3.14,1.22,2018,2,,,,,,,,,,,,,2.68,2.66,2.53,2.623333333333333,2.6770316365584024
3/1/2018,3.03,0.91,2018,3,,,,,,,,,,,,,2.84,2.68,2.66,2.7266666666666666,2.8251846942326293
4/1/2018,3.04,0.87,2018,4,,,,,,,,,,,,,3.02,2.84,2.68,2.8466666666666662,3.002289517657517
5/1/2018,3.24,0.82,2018,5,,,,,,,,,,,,,3.14,3.02,2.84,3.0,3.127480865241593
6/1/2018,3.0,0.89,2018,6,,,,,,,,,,,,,3.03,3.14,3.02,3.063333333333333,3.038861896840144
7/1/2018,3.29,1.06,2018,7,,,,,,,,,,,,,3.04,3.03,3.14,3.0700000000000003,3.0398965360763768
8/1/2018,3.27,1.44,2018,8,,,,,,,,,,,,,3.24,3.04,3.03,3.1033333333333335,3.2218087760069434
9/1/2018,3.34,1.38,2018,9,,,,,,,,,,,,,3.0,3.24,3.04,3.0933333333333337,3.0201644341824494
10/1/2018,3.46,1.49,2018,10,,,,,,,,,,,,,3.29,3.0,3.24,3.176666666666667,3.2654694940165863
11/1/2018,3.38,1.075,2018,11,,,,,,,,,,,,,3.27,3.29,3.0,3.186666666666667,3.2695881358196894
12/1/2018,3.03,0.43,2018,12,,,,,,,,,,,,,3.34,3.27,3.29,3.2999999999999994,3.3335989214381536
1/1/2019,2.83,0.25,2019,1,,,,,,,,,,,,,3.46,3.34,3.27,3.356666666666667,3.448508992858014
2/1/2019,2.95,0.34,2019,2,,,,,,,,,,,,,3.38,3.46,3.34,3.393333333333333,3.386228090259819
3/1/2019,3.07,0.67,2019,3,,,,,,,,,,,,,3.03,3.38,3.46,3.2900000000000005,3.0623843718418016
4/1/2019,3.11,0.8,2019,4,,,,,,,,,,,,,2.83,3.03,3.38,3.0799999999999996,2.851125851985618
5/1/2019,3.18,0.8,2019,5,,,,,,,,,,,,,2.95,2.83,3.03,2.936666666666667,2.9410114410896018
6/1/2019,3.11,0.52,2019,6,,,,,,,,,,,,,3.07,2.95,2.83,2.9499999999999997,3.0582737673717815
7/1/2019,2.98,0.12,2019,7,3.1784573556667906,2.846368999708834,2.828271317904261,2.759445767607442,2.828465775586394,2.7771521511388206,2.8263859514159924,2.78840503147301,2.823696009258553,2.7957265740988597,2.8211158183751834,2.8005933972309442,3.11,3.07,2.95,3.043333333333333,3.105297615215616
8/1/2019,2.99,-0.48,2019,8,2.6256886364619607,2.403461324933729,2.3171217389903997,2.3679010316556703,2.4700235341731887,2.566189649355945,2.638265833646951,2.685607736473112,2.71367072443197,2.728734412854622,2.7359182260150057,2.7387722328085804,3.18,3.11,3.07,3.1199999999999997,3.1732088741105104
9/1/2019,2.94,-0.68,2019,9,2.6973370502964835,2.697723910850714,2.8304154691458687,2.930065178918155,2.864326181184496,2.850450199932486,2.835714371820224,2.8276765597948765,2.8223170529820703,2.818986671628485,2.816867540654244,2.815530001803375,3.11,3.18,3.11,3.1333333333333333,3.1157462612827738
10/1/2019,3.03,-0.86,2019,10,2.885029476965484,2.738796529503578,2.6486997317772776,2.5722535268801465,2.507695231349532,2.457580212096288,2.4238652198759394,2.407832166554272,2.410039648910082,2.4303040406332994,2.467710766292505,2.5206551445183236,2.98,3.11,3.18,3.09,2.9923405692075247
11/1/2019,2.98,-0.57,2019,11,2.9529508548792127,2.830630706540434,2.746566752025868,2.688948931540899,2.6378435678927126,2.5949921638938216,2.5618349213593654,2.539462508411121,2.5285804031021826,2.5294869708063463,2.5420659439621707,2.5657934640191904,2.99,2.98,3.11,3.026666666666667,2.990212779018866
12/1/2019,3.03,-0.09,2019,12,3.02959291602496,2.905020503665647,2.814112320093297,2.7624567924124084,2.7145338940209465,2.671756329332935,2.6353711909116355,2.6064237229757903,2.585727434362143,2.5738414110741834,2.571055455471776,2.5773834389350747,2.94,2.99,2.98,2.97,2.9445647980926237
1/1/2020,2.47,-0.08,2020,1,2.986134460580158,2.8904213089761983,2.83613657053945,2.795333278533915,2.757169603813947,2.722723736614216,2.6929587365511396,2.668695691357759,2.650591163753594,2.6391195429872765,2.634560771797902,2.636993761305884,3.03,2.94,2.99,2.986666666666667,3.0222331634629653
2/1/2020,2.31,-0.39,2020,2,2.8809842528002787,2.823795295422895,2.7804218541312924,2.7397733727396565,2.7033747953308733,2.672247598739349,2.647253339054659,2.6290699076215214,2.618173272234148,2.6148251913793743,2.619067213078353,2.630721085853412,2.98,3.03,2.94,2.983333333333333,2.9838393784966333
3/1/2020,2.36,-0.53,2020,3,2.8970128566956896,2.81186255838094,2.7361741869663927,2.687531330004878,2.6444647378543427,2.6081032708411023,2.579386066550774,2.559038399663305,2.5475535100866042,2.545180850421507,2.5519210265591097,2.567527521794676,3.03,2.98,3.03,3.013333333333333,3.02580357986333
