Date,Price LC,FX,Price USD,Inflation Rate,year,month,1_month_predict,2_month_predict,3_month_predict,4_month_predict,5_month_predict,6_month_predict,7_month_predict,8_month_predict,9_month_predict,10_month_predict,11_month_predict,12_month_predict,Last 6Month Price,Last 7Month Price,Last 8Month Price,3month avg,exponential average
1/1/2017,65.109052,21.891,2.974238363,4.72,2017,1,,,,,,,,,,,,,,,,,
2/1/2017,64.8819274,20.8155,3.117000668,4.86,2017,2,,,,,,,,,,,,,,,,,
3/1/2017,64.3141159,19.9265,3.227567104,5.35,2017,3,,,,,,,,,,,,,,,,,
4/1/2017,64.1248454,19.149,3.348730764,5.82,2017,4,,,,,,,,,,,,,,,,,
5/1/2017,63.8598667,19.1225,3.339514535,6.16,2017,5,,,,,,,,,,,,,,,,,
6/1/2017,62.837806,18.67,3.365710016,6.31,2017,6,,,,,,,,,,,,,,,,,
7/1/2017,62.7620978,18.3295,3.424103102,6.44,2017,7,,,,,,,,,,,,,2.974238363,,,,2.974238363
8/1/2017,63.3677634,17.9835,3.523661323,6.66,2017,8,,,,,,,,,,,,,3.117000668,2.974238363,,,3.1051038092500005
9/1/2017,64.4655323,18.237,3.534875928,6.35,2017,9,,,,,,,,,,,,,3.227567104,3.117000668,2.974238363,3.1062687116666665,3.216517784172932
10/1/2017,64.8440733,19.1785,3.381081591,6.37,2017,10,,,,,,,,,,,,,3.348730764,3.227567104,3.117000668,3.231099512,3.3367196121441256
11/1/2017,65.2226143,19.2565,3.387044079,6.63,2017,11,,,,,,,,,,,,,3.339514535,3.348730764,3.227567104,3.3052708010000003,3.3392604668807206
12/1/2017,64.6548028,19.7325,3.276564186,6.77,2017,12,,,,,,,,,,,,,3.365710016,3.339514535,3.348730764,3.351318438333333,3.3633055251074193
1/1/2018,65.7904258,19.484,3.376638565,5.55,2018,1,,,,,,,,,,,,,3.424103102,3.365710016,3.339514535,3.3764425510000002,3.4185760523914714
2/1/2018,67.9102554,18.901,3.592945103,5.34,2018,2,,,,,,,,,,,,,3.523661323,3.424103102,3.365710016,3.437824813666667,3.5141081170267063
3/1/2018,70.3707719,18.8635,3.730525719,5.04,2018,3,,,,,,,,,,,,,3.534875928,3.523661323,3.424103102,3.4942134510000002,3.5329879451922532
4/1/2018,70.787167,19.02,3.721722766,4.55,2018,4,,,,,,,,,,,,,3.381081591,3.534875928,3.523661323,3.4798729473333334,3.3948912595576077
5/1/2018,71.5063949,20.0005,3.575230364,4.51,2018,5,,,,,,,,,,,,,3.387044079,3.381081591,3.534875928,3.434333866,3.387757459050667
6/1/2018,71.7713736,20.67,3.47224836,4.65,2018,6,,,,,,,,,,,,,3.276564186,3.387044079,3.381081591,3.348229952,3.2866726653682106
7/1/2018,72.7177261,20.169,3.605420502,4.81,2018,7,,,,,,,,,,,,,3.376638565,3.276564186,3.387044079,3.3467489433333335,3.3684598468516582
8/1/2018,74.194036,19.2655,3.851134723,4.9,2018,8,,,,,,,,,,,,,3.592945103,3.376638565,3.276564186,3.415382618,3.57253735244106
9/1/2018,75.9731787,19.427,3.910700504,5.02,2018,9,,,,,,,,,,,,,3.730525719,3.592945103,3.376638565,3.566703129,3.716163140221914
10/1/2018,77.6766132,20.255,3.834935236,4.9,2018,10,,,,,,,,,,,,,3.721722766,3.730525719,3.592945103,3.681731196,3.7212173454747197
11/1/2018,78.4715493,20.542,3.820054002,4.72,2018,11,,,,,,,,,,,,,3.575230364,3.721722766,3.730525719,3.6758262830000006,3.5885019077704285
12/1/2018,79.115069,20.496,3.860024834,4.83,2018,12,,,,,,,,,,,,,3.47224836,3.575230364,3.721722766,3.58973383,3.482816864342766
1/1/2019,78.5094034,19.6095,4.003641266,4.37,2019,1,,,,,,,,,,,,,3.605420502,3.47224836,3.575230364,3.550966408666666,3.594274716758433
2/1/2019,78.5094034,19.405,4.045833723,3.94,2019,2,,,,,,,,,,,,,3.851134723,3.605420502,3.47224836,3.6429345283333334,3.827783813341676
3/1/2019,81.8027101,19.5795,4.177977482,4.0,2019,3,,,,,,,,,,,,,3.910700504,3.851134723,3.605420502,3.789085243,3.903162623031061
4/1/2019,82.4462298,19.2245,4.288602034,4.41,2019,4,,,,,,,,,,,,,3.834935236,3.910700504,3.851134723,3.8655901543333333,3.8411377257300963
5/1/2019,80.7427953,19.652,4.108629926,4.28,2019,5,,,,,,,,,,,,,3.820054002,3.834935236,3.910700504,3.855229914,3.8219707041572817
6/1/2019,80.3642543,19.768,4.065371019,3.95,2019,6,,,,,,,,,,,,,3.860024834,3.820054002,3.834935236,3.838338024,3.8565653676506613
7/1/2019,79.9100051,19.227,4.156134868,3.78,2019,7,3.412961664761935,3.3908791649476244,3.3770686080471553,3.367701460455813,3.3613480994269747,3.357038869112288,3.354116090787441,3.3521336873157397,3.3507891024420924,3.3498771243769565,3.349258566182833,3.348839022934871,4.003641266,3.860024834,3.820054002,3.894573367333333,3.9902707297864235
8/1/2019,80.5156707,20.1185,4.002071263,3.16,2019,8,3.972600358622962,3.4458843015443783,3.446271664522045,3.4466502046870873,3.447020122993203,3.4473816158170467,3.4477348750624808,3.4480800882624485,3.4484174386785305,3.4487471053982315,3.4490692634300504,3.4493840837963874,4.045833723,4.003641266,3.860024834,3.9698332743333338,4.040782541798766
9/1/2019,80.2885461,19.992,4.016033718,3.0,2019,9,3.4623554471741116,3.4535312037966532,3.4537753345001967,3.454013936567309,3.454247135200679,3.4544750527676307,3.45469780886433,3.4549155203785427,3.455128301550969,3.4553362640351892,3.4555395169562537,3.4557381669679423,4.177977482,4.045833723,4.003641266,4.075817490333333,4.165505214708978
10/1/2019,79.3421936,19.776,4.012044579,3.02,2019,10,3.7825370642059286,3.496641862420084,3.4967503179591852,3.496857268704469,3.496962735534577,3.4970667390384667,3.4971692995194275,3.497270436999046,3.497370171221115,3.497468521655486,3.4975655075018715,3.4976611476935924,4.288602034,4.177977482,4.045833723,4.170804413,4.277411414064452
11/1/2019,79.6071723,19.543,4.073436642,2.97,2019,11,3.6287474691695727,3.512624332734747,3.5127032005708863,3.512781066839969,3.512857944261205,3.5129338453922796,3.5130087826314034,3.5130827682193386,3.513155814241398,3.5132279326294196,3.513299135163715,3.5133694334749936,4.108629926,4.288602034,4.177977482,4.191736480666666,4.123973697642223
12/1/2019,79.3043395,19.567,4.052963638,2.83,2019,12,3.803964004091816,3.5438341707361234,3.543886500552649,3.543938324281847,3.5439896468181424,3.5440404730086263,3.5440908076535127,3.544140655506592,3.544190021275681,3.5442389096230666,3.544287325165945,3.5443352724768604,4.065371019,4.108629926,4.288602034,4.154200993,4.070698535240202
1/1/2020,79.872151,18.9599,4.212688411,3.24,2020,1,3.704280923944135,3.560337959177336,3.5603764378008718,3.560414577225643,3.560452380441772,3.560489850413023,3.560526990077033,3.560563802345544,3.56060029010463,3.5606364562149233,3.560672303511839,3.5607078348057977,4.156134868,4.065371019,4.108629926,4.110045271,4.1483679286582
